Nama,2016,2017
Roti Tawar,7793,8979
Gado-gado,7937,8355
Biskuit ,14018,13327
Bubur Kacang Hijau,4637,5390
Mie Bakso,11085,11592
Makanan Ringan Anak-anak,1230,1256
Mie Ayam,10997,12060
Gula Pasir,13130,14134
Kopi Bubuk,4941,5015
Kopi Instan,1538,1513
Teh Botol,3804,3828
The,3402,4419
Teh Manis,3371,3297
Teh Celup,3142,3714
Minuman Ringan,4914,5031
Air Meneral,2956,3048
Minuman Kesehatan/Berenergi,4239,4559
Ice Cream,4163,4642
Rokok Keretek Putih,14435,18855
Rokok Keretek,11674,12866
Rokok Keretek Filter,12786,16191
Sirih,2106,2874
Pinang Belum Dikupas,309,1063
Gambir,1181,1465
Bir,25725,28285
